gene_id,num_sets,anotherheader
FBgn0038404,2,0
FBgn0038405,2,0
FBgn0038419,3,0
FBgn0038420,1,0
FBgn0038421,2,0
FBgn0038422,1,0
FBgn0038423,1,0
FBgn0038425,2,0
FBgn0038427,3,0
FBgn0038428,1,0
FBgn0038429,1,0
FBgn0038435,2,0
FBgn0038448,1,0
FBgn0038453,1,0
FBgn0038460,3,0
FBgn0038461,1,0
FBgn0038462,1,0
FBgn0038465,1,0
FBgn0038466,2,0
FBgn0038469,1,0
FBgn0038470,1,0
FBgn0038475,2,0
FBgn0038476,3,0
FBgn0038481,1,0
FBgn0038488,1,0
FBgn0038491,1,0
FBgn0038492,1,0
FBgn0038494,2,0
FBgn0038498,2,0
FBgn0038499,1,0
FBgn0038504,2,0
FBgn0038515,2,0
FBgn0038516,3,0
FBgn0038524,1,0
FBgn0038526,1,0
FBgn0038532,3,0
FBgn0038535,6,0
FBgn0038539,1,0
FBgn0038541,3,0
FBgn0038542,2,0
FBgn0038545,1,0
FBgn0038547,1,0
FBgn0038558,1,0
FBgn0038569,1,0
FBgn0038570,2,0
FBgn0038571,2,0
FBgn0038575,2,0
FBgn0038576,1,0
FBgn0038583,2,0
FBgn0038590,1,0
FBgn0038603,5,0
FBgn0038606,2,0
FBgn0038608,1,0
FBgn0038610,3,0
FBgn0038619,1,0
FBgn0038627,3,0
FBgn0038629,3,0
FBgn0038630,2,0
FBgn0038638,1,0
FBgn0038639,2,0
FBgn0038641,1,0
FBgn0038642,1,0
FBgn0038651,1,0
FBgn0038652,5,0
FBgn0038653,2,0
FBgn0038654,1,0
FBgn0038659,3,0
FBgn0038662,1,0
FBgn0038665,1,0
FBgn0038666,2,0
FBgn0038672,1,0
FBgn0038683,2,0
FBgn0038686,2,0
FBgn0038693,5,0
FBgn0038695,1,0
FBgn0038700,1,0
FBgn0038704,3,0
FBgn0038716,1,0
FBgn0038720,6,0
FBgn0038721,5,0
FBgn0038725,3,0
FBgn0038735,6,0
FBgn0038738,2,0
FBgn0038739,1,0
FBgn0038740,4,0
FBgn0038744,1,0
FBgn0038745,2,0
FBgn0038747,3,0
FBgn0038755,1,0
FBgn0038756,1,0
FBgn0038763,1,0
FBgn0038771,2,0
FBgn0038783,1,0
FBgn0038787,1,0
FBgn0038788,1,0
FBgn0038797,2,0
FBgn0038799,2,0
FBgn0038803,5,0
FBgn0038805,2,0
FBgn0038811,1,0
FBgn0038814,1,0
FBgn0038816,3,0
FBgn0038818,2,0
FBgn0038826,17,0
FBgn0038828,1,0
FBgn0038829,2,0
FBgn0038834,2,0
FBgn0038839,2,0
FBgn0038840,3,0
FBgn0038842,2,0
FBgn0038846,1,0
FBgn0038849,1,0
FBgn0038850,2,0
FBgn0038858,3,0
FBgn0038860,2,0
FBgn0038862,2,0
FBgn0038871,1,0
FBgn0038872,1,0
FBgn0038874,2,0
FBgn0038876,1,0
FBgn0038878,3,0
FBgn0038880,1,0
FBgn0038881,1,0
FBgn0038887,1,0
FBgn0038889,1,0
FBgn0038890,3,0
FBgn0038897,1,0
FBgn0038909,3,0
FBgn0038922,1,0
FBgn0038925,1,0
FBgn0038930,1,0
FBgn0038934,2,0
FBgn0038938,2,0
FBgn0038944,2,0
FBgn0038946,2,0
FBgn0038947,2,0
FBgn0038948,1,0
FBgn0038951,2,0
FBgn0038956,2,0
FBgn0038957,2,0
FBgn0038961,2,0
FBgn0038965,1,0
FBgn0038966,1,0
FBgn0038967,1,0
FBgn0038975,3,0
FBgn0038976,1,0
FBgn0038979,2,0
FBgn0038980,3,0
FBgn0038984,4,0
FBgn0039003,1,0
FBgn0039007,1,0
FBgn0039008,1,0
FBgn0039026,4,0
FBgn0039027,1,0
FBgn0039029,1,0
FBgn0039031,1,0
FBgn0039039,2,0
FBgn0039044,3,0
FBgn0039045,2,0
FBgn0039049,3,0
FBgn0039050,2,0
